count,date,time,team,timestamp,seconds_after_start,success,person,treatment
293,2024-11-01,16:04:29.928,js,2024-11-01 16:04:29.928,1769.928,False,,1.0
294,2024-11-01,16:04:30.186,js,2024-11-01 16:04:30.186,1770.186,False,,1.0
295,2024-11-01,16:04:30.378,js,2024-11-01 16:04:30.378,1770.378,False,,1.0
296,2024-11-01,16:04:34.638,js,2024-11-01 16:04:34.638,1774.638,False,,1.0
297,2024-11-01,16:04:34.784,js,2024-11-01 16:04:34.784,1774.784,False,,1.0
298,2024-11-01,16:04:34.963,js,2024-11-01 16:04:34.963,1774.963,False,,1.0
299,2024-11-01,16:04:35.088,js,2024-11-01 16:04:35.088,1775.088,False,,1.0
300,2024-11-01,16:04:35.762,js,2024-11-01 16:04:35.762,1775.762,True,,1.0
301,2024-11-01,16:04:44.279,js,2024-11-01 16:04:44.279,1784.279,False,,1.0
302,2024-11-01,16:04:50.588,js,2024-11-01 16:04:50.588,1790.588,False,,1.0
303,2024-11-01,16:04:53.698,js,2024-11-01 16:04:53.698,1793.698,True,,1.0
304,2024-11-01,16:05:06.103,js,2024-11-01 16:05:06.103,1806.103,True,,1.0
305,2024-11-01,16:10:51.733,js,2024-11-01 16:10:51.733,2151.733,False,,0.0
